source,bucket,episodes,wins,losses,pushes,reward_sum,win_rate,loss_rate,push_rate,average_reward,stand_actions,hit_actions,stand_rate,hit_rate,agent_name,agent_type,train_seed,eval_seed,comparison_id
20260608_170145_baseline-123_agent,>= 3,89088,37729,43683,7676,-5954.0,0.4235026041666667,0.4903353987068966,0.08616199712643678,-0.06683279454022989,73463,72239,0.5042003541475065,0.4957996458524934,baseline-123,baseline,123,9876,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_counting-123_agent,<= -3,94020,40795,43616,9609,-2821.0,0.43389704318230166,0.4639012975962561,0.10220165922144224,-0.03000425441395448,74104,69731,0.5152014461014357,0.4847985538985643,counting-123,counting,123,1234,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,-2 to 0,635470,272105,302718,60647,-30613.0,0.4281948793806159,0.4763686720065463,0.09543644861283775,-0.04817379262593041,513017,468320,0.522773522245671,0.477226477754329,counting-123,counting,123,1234,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,1 to 2,182894,77631,89302,15961,-11671.0,0.4244589762376021,0.4882718951961245,0.08726912856627336,-0.06381291895852242,153730,141684,0.5203883363686217,0.47961166363137836,counting-123,counting,123,1234,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,>= 3,87616,37385,42997,7234,-5612.0,0.4266914718772827,0.49074369978086196,0.08256482834185537,-0.06405222790357926,76431,60998,0.5561489932983577,0.4438510067016423,counting-123,counting,123,1234,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,<= -3,94038,40795,43639,9604,-2844.0,0.4338139900891129,0.46405708330674833,0.10212892660413875,-0.030243093217635422,74120,69740,0.5152231336021131,0.4847768663978868,counting-123,counting,123,4321,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,-2 to 0,635395,272055,302697,60643,-30642.0,0.42816673093115304,0.476391850738517,0.09544141833032996,-0.04822511980736392,512942,468385,0.5227024223322093,0.47729757766779063,counting-123,counting,123,4321,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,1 to 2,182932,77656,89320,15956,-11664.0,0.42450746725559224,0.48826886493341787,0.08722366781098988,-0.06376139767782564,153747,141713,0.5203648548026806,0.4796351451973194,counting-123,counting,123,4321,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,>= 3,87635,37401,43002,7232,-5601.0,0.42678153705711186,0.4906943572773435,0.08252410566554459,-0.06391282022023165,76445,61000,0.5561861108079595,0.44381388919204046,counting-123,counting,123,4321,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,<= -3,94013,40777,43637,9599,-2860.0,0.43373788731345664,0.46415921202386906,0.10210290066267431,-0.030421324710412388,74098,69745,0.5151310804140625,0.4848689195859374,counting-123,counting,123,9876,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,-2 to 0,635426,272083,302743,60600,-30660.0,0.42818990724332967,0.4764410017846295,0.0953690909720408,-0.048251094541299853,512909,468499,0.5226256562000717,0.47737434379992827,counting-123,counting,123,9876,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,1 to 2,182988,77703,89317,15968,-11614.0,0.4246344022558856,0.48810304500841584,0.08726255273569851,-0.06346864275253022,153807,141684,0.520513315126349,0.479486684873651,counting-123,counting,123,9876,counting-123 | 20260608_170145_counting-123_agent
20260608_170145_counting-123_agent,>= 3,87573,37380,42956,7237,-5576.0,0.4268438902401425,0.4905164833909995,0.08263962636885798,-0.063672593150857,76408,60956,0.5562447220523572,0.44375527794764275,counting-123,counting,123,9876,counting-123 | 20260608_170145_counting-123_agent
