source,bucket,episodes,wins,losses,pushes,reward_sum,win_rate,loss_rate,push_rate,average_reward,stand_actions,hit_actions,stand_rate,hit_rate,agent_name,agent_type,train_seed,eval_seed,comparison_id
in_memory,-2 to 0,636895,273587,302349,60959,-28762.0,0.429563742846152,0.4747234630512094,0.09571279410263858,-0.045159720205057347,514441,468955,0.5231270007199541,0.4768729992800459,counting-42,counting,42,1234,counting-42 | in_memory
in_memory,1 to 2,183968,78044,89941,15983,-11897.0,0.4242259523395373,0.4888948077926596,0.08687923986780309,-0.06466885545312229,154857,141551,0.5224454130792691,0.4775545869207309,counting-42,counting,42,1234,counting-42 | in_memory
in_memory,>= 3,88291,37676,43237,7378,-5561.0,0.4267252607853575,0.48971016298376957,0.0835645762308729,-0.06298490219841207,76986,62036,0.5537684682999813,0.4462315317000187,counting-42,counting,42,1234,counting-42 | in_memory
in_memory,<= -3,90752,39272,42237,9243,-2965.0,0.4327397743300423,0.46541123060648804,0.10184899506346967,-0.0326714562764457,71276,67849,0.5123162623539982,0.4876837376460018,counting-42,counting,42,4321,counting-42 | in_memory
in_memory,-2 to 0,636805,273502,302327,60976,-28825.0,0.4294909744741326,0.4747560085112397,0.09575301701462771,-0.04526503403710712,514393,468845,0.5231622455600781,0.476837754439922,counting-42,counting,42,4321,counting-42 | in_memory
in_memory,1 to 2,184242,78179,90059,16004,-11880.0,0.4243277862810868,0.48880819791361363,0.08686401580529955,-0.06448041163252678,155074,141771,0.5224073169499234,0.4775926830500766,counting-42,counting,42,4321,counting-42 | in_memory
in_memory,>= 3,88201,37639,43190,7372,-5551.0,0.42674119341050554,0.4896769877892541,0.08358181880024036,-0.06293579437874854,76889,62025,0.553500727068546,0.44649927293145397,counting-42,counting,42,4321,counting-42 | in_memory
in_memory,<= -3,90721,39284,42196,9241,-2912.0,0.4330199182107781,0.4651183298244067,0.1018617519648152,-0.0320984116136286,71269,67802,0.512464856080707,0.48753514391929303,counting-42,counting,42,9876,counting-42 | in_memory
in_memory,-2 to 0,636822,273490,302377,60955,-28887.0,0.4294606656177079,0.4748218497476532,0.09571748463463887,-0.04536118412994526,514408,468844,0.5231700520314223,0.47682994796857775,counting-42,counting,42,9876,counting-42 | in_memory
in_memory,1 to 2,184235,78173,90070,15992,-11897.0,0.4243113414932016,0.48888647651097783,0.08680218199582056,-0.0645751350177762,155047,141753,0.5223955525606468,0.4776044474393531,counting-42,counting,42,9876,counting-42 | in_memory
in_memory,>= 3,88222,37656,43204,7362,-5548.0,0.42683230940128314,0.48971911768039716,0.0834485729183197,-0.06288680827911405,76906,62038,0.5535035697835099,0.4464964302164901,counting-42,counting,42,9876,counting-42 | in_memory
in_memory,<= -3,91688,39860,42799,9029,-2939.0,0.43473518890149204,0.4667895471599337,0.0984752639385743,-0.03205435825844167,74603,64255,0.5372610868657189,0.46273891313428106,baseline-123,baseline,123,1234,baseline-123 | in_memory
in_memory,-2 to 0,635531,272561,302959,60011,-30398.0,0.4288712903068458,0.4767021592967141,0.09442655039644014,-0.04783086898986832,514191,465428,0.5248887577721543,0.47511124222784573,baseline-123,baseline,123,1234,baseline-123 | in_memory
in_memory,1 to 2,183697,77910,89681,16106,-11771.0,0.42412233188348203,0.4882006782908812,0.08767698982563678,-0.06407834640739914,151359,148771,0.5043114650318196,0.49568853496818044,baseline-123,baseline,123,1234,baseline-123 | in_memory
in_memory,>= 3,89084,37722,43682,7680,-5960.0,0.4234430425216649,0.49034619011270264,0.08621076736563243,-0.06690314759103767,73473,72248,0.5042032376939494,0.49579676230605063,baseline-123,baseline,123,1234,baseline-123 | in_memory
in_memory,<= -3,91692,39877,42793,9022,-2916.0,0.4349016271866684,0.4667037473280112,0.09839462548532042,-0.03180212014134275,74601,64256,0.5372505527269061,0.4627494472730939,baseline-123,baseline,123,4321,baseline-123 | in_memory
in_memory,-2 to 0,635434,272535,302900,59999,-30365.0,0.42889584126754315,0.47668207870526286,0.09442208002719402,-0.04778623743771973,514133,465311,0.5249233238449569,0.47507667615504307,baseline-123,baseline,123,4321,baseline-123 | in_memory
in_memory,1 to 2,183845,77985,89738,16122,-11753.0,0.42418885474176615,0.4881177078517229,0.08769343740651092,-0.06392885310995676,151469,148921,0.5042411531675488,0.49575884683245114,baseline-123,baseline,123,4321,baseline-123 | in_memory
